id,name,phone,domain,address
455,Bubblebox,856-223-4064,Consumer Non-Durables,1836 Forest Dale Court
456,Jaloo,179-102-0393,Finance,84328 Havey Center
457,Gabtune,696-574-8836,n/a,9977 Helena Terrace
458,Tagchat,891-641-7010,n/a,5 Arapahoe Park
459,Yacero,148-944-3002,Health Care,55411 Canary Way
460,Quire,575-459-6445,Technology,02 Ilene Court
461,Kayveo,439-971-1026,Capital Goods,55 David Terrace
462,Layo,396-301-4790,Finance,03557 Maple Point
463,Zooxo,379-946-9502,Miscellaneous,399 Stone Corner Parkway
464,Jamia,812-109-7030,n/a,4539 Spaight Junction
465,Twitterlist,145-360-8643,Consumer Non-Durables,50398 Kipling Alley
466,Ntags,590-342-5619,Finance,1 Kennedy Road
467,Ailane,188-379-5432,n/a,7 Kim Way
468,Meembee,551-408-3693,Public Utilities,07 Prairie Rose Trail
469,Jetpulse,746-856-9741,Miscellaneous,82 Tennessee Hill
470,Meetz,339-262-9728,Consumer Non-Durables,3200 Rieder Avenue
471,Photobug,146-109-3573,n/a,26335 La Follette Trail
472,Livetube,451-644-1537,Technology,2081 Main Drive
473,Realbuzz,410-225-6406,Public Utilities,32 Iowa Court
474,Trilia,920-874-9306,n/a,06505 Canary Parkway
475,Rooxo,824-564-9206,n/a,0296 Artisan Park
476,Quamba,968-949-2334,Capital Goods,87916 Stuart Park
477,Wikivu,752-330-7579,Finance,6 Lindbergh Crossing
478,Wikibox,867-650-2021,Consumer Non-Durables,1859 Laurel Terrace
479,Pixope,123-929-7720,n/a,568 Burrows Crossing
480,Oyope,690-990-6502,Energy,71668 Veith Crossing
481,Ooba,898-544-1394,Health Care,8418 Warner Junction
482,Yombu,800-125-3438,n/a,6 Fremont Park
483,Leenti,625-948-8762,Health Care,4 Service Crossing
484,Lajo,526-700-5336,Finance,742 La Follette Junction
485,Twimbo,413-796-1671,Public Utilities,53 Sutherland Terrace
486,Jabbersphere,174-187-3607,Basic Industries,1 Lunder Way
487,Vipe,770-552-2367,Health Care,8818 Parkside Alley
488,Jabbersphere,157-187-0872,Consumer Services,65861 Duke Road
489,Brightbean,528-123-5445,Consumer Non-Durables,8838 2nd Place
490,Cogidoo,410-169-8077,Public Utilities,5 Jackson Alley
491,Oozz,129-393-0435,Public Utilities,5 Wayridge Drive
492,Brainverse,616-762-4612,n/a,626 Hermina Junction
493,Zava,626-240-5648,n/a,39 Green Parkway
494,Yakidoo,528-107-9379,Finance,18586 Kennedy Parkway
495,Tagfeed,816-971-9510,Health Care,7 Straubel Hill
496,Skyble,230-899-0733,n/a,218 Nancy Parkway
497,Tekfly,765-647-0469,Capital Goods,15 Spenser Parkway
498,Jatri,604-362-6447,Finance,931 Harper Point
499,Fiveclub,700-431-5629,Health Care,54779 Linden Point
500,Voolith,496-892-4108,Consumer Services,79 Nelson Road
501,Fivebridge,414-562-8425,Consumer Non-Durables,20 Hoepker Avenue
502,Flipbug,670-248-3806,Basic Industries,852 Park Meadow Drive
503,Dynabox,317-136-3973,n/a,296 John Wall Crossing
504,Cogilith,890-848-0667,Health Care,81496 Carpenter Park
505,Zoombox,998-889-8870,Public Utilities,2 Union Center
506,Twimbo,161-754-7320,Finance,18 Rowland Road
507,Yambee,344-802-6039,Health Care,007 Melrose Lane
508,Flipbug,454-688-2302,Energy,59 Vermont Circle
509,Fivechat,872-895-9987,n/a,51987 Havey Avenue
510,Gevee,125-476-1610,Technology,4 Mitchell Plaza
511,Kamba,178-813-2124,Finance,39256 Arapahoe Court
512,Leexo,218-680-5553,n/a,7 Almo Circle
513,Dynabox,192-276-0022,Basic Industries,3663 Debs Road
514,Shufflester,892-502-4992,Miscellaneous,227 Arapahoe Pass
515,Kwimbee,578-246-3182,Public Utilities,8 Old Gate Trail
516,Oyoyo,131-605-1431,n/a,37680 Carberry Alley
517,Brainverse,454-964-1730,Consumer Services,51 Twin Pines Alley
518,Brainlounge,503-181-5819,Finance,4279 Dorton Street
519,Twinte,423-670-5315,Consumer Non-Durables,260 Moose Lane
520,Skynoodle,167-792-4360,Consumer Services,08 Morningstar Pass
521,Skivee,156-225-3468,Finance,47 Crescent Oaks Hill
522,Skyndu,248-318-1767,n/a,69893 Raven Road
523,Eayo,147-743-6734,Transportation,050 Grayhawk Crossing
524,Devbug,923-836-3246,Energy,39116 Bunker Hill Hill
525,Katz,607-761-6373,n/a,582 Stephen Hill
526,Skaboo,104-391-5986,Finance,50576 Messerschmidt Point
527,Realpoint,102-915-9285,Finance,4391 Killdeer Circle
528,Quamba,208-914-0309,Finance,7556 Dennis Pass
529,Browsetype,467-837-8114,Consumer Services,8170 Roxbury Park
530,Kwideo,830-117-9564,Consumer Services,27 Merry Center
531,Brainsphere,329-548-3343,Capital Goods,733 David Alley
532,Skalith,319-998-8105,Capital Goods,1 Del Mar Circle
533,Photobug,765-756-7292,Public Utilities,29296 Truax Street
534,Oyoba,653-364-7560,Consumer Durables,69 Blaine Terrace
535,Avamba,613-829-0942,Finance,012 Randy Drive
536,Bluezoom,987-758-5020,Technology,29 Southridge Lane
537,Gabvine,346-634-2261,Consumer Services,2 Shoshone Junction
538,Demivee,659-125-1220,Public Utilities,414 Troy Center
539,Browsecat,931-123-0783,n/a,56134 Banding Way
540,Yozio,993-943-5983,n/a,3439 Crest Line Street
541,Wikivu,153-835-9215,Finance,0017 Cambridge Street
542,Dabshots,106-187-6998,Energy,85 Southridge Way
543,Shuffletag,357-158-7273,Capital Goods,03590 Mesta Avenue
544,Thoughtbridge,517-395-4192,Miscellaneous,8344 Hanson Drive
545,Voomm,446-903-4749,Consumer Services,4840 Hansons Parkway
546,Vidoo,331-306-8896,n/a,9 Hanover Crossing
547,Avaveo,106-517-0994,Health Care,390 Maple Road
548,Wordify,983-799-3510,Transportation,9526 Forest Park
549,Jabbertype,831-589-5216,Consumer Services,5890 Hallows Trail
550,Babbleset,567-195-5098,Technology,8 Scott Crossing
551,Photojam,790-315-9021,Health Care,8 Mcguire Hill
552,Quire,964-607-4670,n/a,08138 Cody Crossing
553,Yamia,923-102-0990,Finance,12 Westend Place
554,Oozz,597-497-8667,Consumer Services,923 Logan Point
555,Oyonder,264-576-7198,Basic Industries,0420 Oak Parkway
556,Ntag,111-691-7373,Consumer Services,734 Burrows Point
557,Flipstorm,956-118-8364,Finance,4830 Forster Parkway
558,Yambee,517-105-1326,Finance,9103 Redwing Parkway
559,Topicshots,424-174-1240,Health Care,58208 Northridge Avenue
560,Mynte,696-952-5168,Consumer Durables,85 Sunnyside Junction
561,Yacero,758-914-9171,Health Care,5376 Kingsford Avenue
562,Dynabox,274-269-4459,Consumer Services,867 Sutteridge Lane
563,Babbleblab,529-403-5577,Finance,77533 Milwaukee Trail
564,Dabvine,472-857-5406,Health Care,5 Maple Trail
565,Riffwire,826-724-1600,Public Utilities,3 Golden Leaf Plaza
566,Quinu,679-195-1757,Technology,5 Carioca Plaza
567,Buzzdog,534-642-0878,Health Care,6 Rieder Avenue
568,Skyvu,929-779-1912,Capital Goods,61 Maple Plaza
569,Twitterbridge,146-685-0352,Energy,414 Bartelt Drive
570,Flipstorm,214-484-0167,Transportation,45 Weeping Birch Trail
571,Ailane,828-103-3214,Miscellaneous,678 Shopko Point
572,Wikido,548-606-9009,Finance,97 Eagle Crest Terrace
573,Lazzy,355-558-7980,Health Care,7419 Fisk Road
574,Mybuzz,763-182-4227,Technology,088 Maryland Plaza
575,Mynte,995-850-9578,Health Care,78 Hansons Circle
576,Thoughtmix,598-359-4626,Finance,246 Fairfield Trail
577,Twimbo,553-531-1014,Consumer Services,3 Mockingbird Point
578,Quire,458-808-1958,Health Care,523 Manitowish Terrace
579,Voonder,739-972-2555,Consumer Services,0594 Eagan Lane
580,Kaymbo,645-994-4738,n/a,87 Division Park
581,Avamba,839-494-8065,Finance,41 Maryland Drive
582,Tazz,524-927-6499,n/a,97014 Lake View Trail
583,Gigabox,741-456-5299,n/a,9396 Twin Pines Park
584,Jabberbean,710-868-9427,Technology,88 Swallow Pass
585,Mynte,901-622-6708,Basic Industries,13726 Upham Center
586,Photofeed,264-196-7293,n/a,627 Arrowood Hill
587,Tagchat,257-916-4332,Health Care,69 Birchwood Plaza
588,Kamba,964-695-3749,n/a,15 David Court
589,Myworks,841-290-3913,Public Utilities,87382 Badeau Terrace
590,Browseblab,800-743-9301,Consumer Services,0 Anhalt Parkway
591,Thoughtsphere,640-893-1474,n/a,7086 Morning Plaza
592,Talane,405-569-7826,n/a,30721 Mayfield Street
593,Yambee,507-214-6447,Health Care,499 Summer Ridge Point
594,Pixonyx,467-291-0553,Transportation,1 Nova Drive
595,Jazzy,120-867-8422,Energy,482 Doe Crossing Lane
596,Avavee,315-260-2403,Technology,099 Schmedeman Center
597,Zava,356-657-2740,Finance,8 Johnson Terrace
598,Skyvu,402-215-5785,Technology,7 Ludington Parkway
599,Eidel,523-304-4004,Technology,44 Talisman Trail
600,Zoozzy,397-882-1121,Technology,6946 Ridgeview Junction
601,Jabberbean,509-390-7795,Energy,5717 Rowland Way
602,Buzzbean,294-297-9281,Technology,148 6th Avenue
603,Youfeed,894-819-2865,n/a,609 Hoard Way
604,Avamm,467-364-7832,Health Care,5988 Raven Park
605,Roodel,810-959-9765,Transportation,98709 Pearson Terrace
606,Photojam,316-973-5454,Finance,786 Dakota Way
607,Gigabox,925-683-1701,Technology,2582 Blackbird Court
608,Trudeo,489-424-9049,n/a,3226 Thompson Hill
609,Blogspan,471-939-6013,Transportation,8 Fremont Center
610,Quire,867-706-7592,n/a,127 Bobwhite Park
611,Realpoint,142-644-1019,n/a,2010 Laurel Terrace
612,Jaxbean,834-339-6457,Capital Goods,4 Bunker Hill Pass
613,Meedoo,397-161-9502,Finance,49039 Graceland Center
614,Trilia,212-337-9444,Consumer Services,00713 Everett Plaza
615,Vitz,690-798-4123,Technology,18 Union Street
616,Blogtag,186-730-8173,Basic Industries,014 Tony Drive
617,Katz,839-103-9832,Health Care,25 Aberg Point
618,Realfire,277-422-6832,Consumer Services,24658 Thackeray Alley
619,Mycat,327-872-9367,n/a,2210 Scoville Park
620,Twitterlist,256-649-1096,Technology,8677 Vidon Drive
621,Riffpedia,686-597-7058,Energy,55407 Warbler Junction
622,Mymm,365-997-0235,Finance,8 Texas Terrace
623,Photobug,547-841-3870,Consumer Services,33 Bonner Court
624,Plajo,315-961-1584,Finance,6464 Butternut Crossing
625,Quaxo,279-971-7492,n/a,72948 Kennedy Park
626,Brightbean,776-213-5376,Transportation,2 Sloan Drive
627,Wordify,987-280-7602,Finance,21 Esch Hill
628,Rhynyx,273-699-1885,Consumer Services,10 Pond Crossing
629,Skalith,742-571-5885,Consumer Services,34 Hanover Plaza
630,Kazio,989-200-4614,Consumer Services,51004 Saint Paul Crossing
631,Flipbug,314-850-4974,Technology,61885 Johnson Road
632,Cogilith,359-219-3359,Consumer Services,2 David Road
633,Podcat,711-660-1732,Capital Goods,79 Corben Road
634,Twimm,906-663-9170,Transportation,2 Merry Junction
635,Divape,190-152-2558,Basic Industries,0 Shelley Road
636,Brightbean,281-978-5206,Health Care,894 Declaration Avenue
637,Edgewire,359-813-1272,Miscellaneous,8009 Lukken Pass
638,Trudeo,343-335-1306,Technology,29 Leroy Trail
639,Gabvine,695-525-9174,Miscellaneous,362 Monterey Way
640,Trilia,383-792-0277,n/a,39890 Aberg Terrace
641,Gigashots,252-870-2192,n/a,8 Southridge Road
642,Yodel,490-264-6107,Finance,43097 Corry Alley
643,Flipstorm,972-726-8807,Public Utilities,334 Hanson Road
644,Edgeify,342-389-7685,Basic Industries,0 Fuller Lane
645,Yodo,930-779-1154,n/a,368 Gerald Court
646,Dabvine,796-288-5345,Finance,10 Morrow Crossing
647,Bubbletube,234-986-1933,Health Care,4510 Merchant Court
648,Mydo,247-572-1412,Technology,8561 Fremont Way
649,Jaxworks,759-545-3002,Energy,5313 Pearson Lane
650,Voonix,119-761-8250,Finance,9 Anniversary Terrace
651,Camido,272-812-5002,n/a,411 Carberry Court
652,Mybuzz,281-874-9699,Technology,95 Northport Center
653,Gigabox,151-574-8595,Technology,45504 Dunning Hill
654,Eayo,277-940-7241,Energy,54 Susan Drive
655,Tagfeed,428-206-3137,Transportation,65 Melrose Avenue
656,Avamba,591-151-8174,n/a,87 Quincy Crossing
657,Dabvine,935-911-5229,Finance,14574 Bayside Street
658,Edgeify,374-999-0004,Basic Industries,725 Fairview Parkway
659,Lajo,558-936-2909,Finance,0333 Tennessee Terrace
660,Skyvu,492-704-1230,n/a,7 Pawling Court
661,Tazz,141-241-6898,n/a,1 Bobwhite Circle
662,Avavee,411-916-5898,Consumer Services,71254 Rusk Hill
663,Dabvine,410-901-4172,n/a,6116 Hanson Point
664,Kayveo,335-448-8118,Consumer Non-Durables,71 Spenser Parkway
665,Photojam,446-210-7485,n/a,7519 Pearson Lane
666,Kare,778-348-8789,Basic Industries,146 Golf Court
667,Omba,516-214-0929,Basic Industries,3 Magdeline Pass
668,Yamia,345-553-2636,Finance,7734 Burning Wood Drive
669,Layo,280-912-3212,Capital Goods,6032 Superior Street
670,Camimbo,228-483-5067,Energy,715 Warrior Drive
671,Jaxnation,422-543-5721,Consumer Durables,07 Corscot Street
672,Avavee,979-561-1159,Finance,0 Hollow Ridge Point
673,Zoomzone,392-897-7347,Finance,584 Gateway Drive
674,Devpoint,756-211-8699,Finance,913 Mifflin Road
675,Thoughtsphere,804-789-0587,Capital Goods,2742 Schiller Lane
676,Rhynyx,668-395-1951,Consumer Services,23567 Jay Park
677,Quinu,819-102-3406,Technology,8 Stoughton Way
678,Gabvine,899-736-9243,n/a,84426 Sachtjen Avenue
679,Flipopia,102-663-4422,Finance,7 Maryland Plaza
680,Camimbo,958-981-7404,Finance,3 Lyons Plaza
681,Gabtype,490-417-7252,Capital Goods,0866 Eggendart Trail
682,Thoughtblab,662-397-7707,Consumer Services,589 Goodland Park
683,Eazzy,241-931-2513,n/a,03723 Northridge Point
684,Pixope,978-814-7566,Health Care,03008 Florence Drive
685,Muxo,768-811-9884,Finance,72068 Toban Center
686,Eazzy,865-262-4581,n/a,3725 Di Loreto Road
687,Babblestorm,903-858-4156,Technology,9491 Comanche Drive
688,Youfeed,324-727-0894,Health Care,7 Tomscot Court
689,Flashpoint,232-890-3314,Capital Goods,414 Stephen Court
690,Minyx,930-307-9268,Finance,47 Spenser Way
691,Browsedrive,751-611-0771,Capital Goods,9222 Almo Drive
692,Gabtype,400-767-6583,n/a,5 Chinook Crossing
693,Kanoodle,581-612-8670,n/a,483 Carpenter Lane
694,Meezzy,985-988-7345,Finance,1259 Spenser Road
695,Aivee,397-487-3248,Health Care,5040 Ridge Oak Lane
696,Rooxo,272-202-9364,n/a,60 Glacier Hill Point
697,Tavu,632-742-9110,Energy,43 Beilfuss Trail
698,Quimm,493-350-7773,Consumer Durables,98 Shasta Plaza
699,Tagtune,174-543-6317,Health Care,6760 Warner Road
700,Plambee,641-476-4467,Finance,8 Hauk Court
701,Eamia,248-557-3970,Capital Goods,5 Troy Park
702,Youspan,519-916-5886,Consumer Non-Durables,90949 Lukken Crossing
703,Dabvine,352-625-5666,Transportation,1813 Elgar Parkway
704,Skinte,883-678-0212,n/a,6 Farmco Avenue
705,Kayveo,585-413-5531,Technology,278 Manley Parkway
706,Aimbo,131-290-5650,n/a,3 Corry Way
707,Yata,533-841-6770,Miscellaneous,44882 Sugar Point
708,Muxo,821-884-1707,Public Utilities,1 Rieder Street
709,Trudeo,945-516-1190,Consumer Services,6 Milwaukee Trail
710,Skivee,579-795-3504,Capital Goods,50 Golf Plaza
711,Oyoyo,135-725-6400,n/a,7488 Hoepker Parkway
712,Rhybox,796-652-8699,Health Care,80853 Waxwing Center
713,Photofeed,242-311-8799,n/a,85 Derek Alley
714,Gabvine,951-446-0077,Health Care,5 Roxbury Drive
715,Zoomcast,510-634-8016,Consumer Non-Durables,13012 Merchant Circle
716,Topdrive,947-786-9858,Health Care,059 Southridge Junction
717,Katz,314-241-9885,Consumer Services,69 Darwin Alley
718,Voolia,475-550-5941,Finance,1 Hudson Trail
719,Yakijo,495-402-6629,Health Care,661 Valley Edge Hill
720,Youtags,908-208-8021,Consumer Services,11298 Meadow Vale Point
721,Zazio,772-988-9832,Health Care,14 Southridge Trail
722,Edgetag,904-443-0742,n/a,70 Forest Run Terrace
723,Trunyx,460-841-1129,Technology,84387 Kingsford Park
724,Kazu,181-362-4513,Consumer Non-Durables,718 Jana Place
725,Twitternation,357-559-5445,Consumer Services,384 Summit Lane
726,Oyoyo,989-764-6798,Finance,167 Lawn Avenue
727,Blogspan,889-993-8367,Public Utilities,4 Columbus Park
728,Youbridge,235-565-0628,n/a,2424 Graceland Point
729,Jamia,691-775-7130,n/a,440 Brickson Park Pass
730,Youspan,213-664-6349,Technology,134 Goodland Road
731,Skibox,527-908-1993,Capital Goods,2 Erie Alley
732,Meezzy,681-387-9898,Consumer Services,4 Dunning Terrace
733,Pixope,696-903-2350,Capital Goods,239 Harbort Plaza
734,Jaxworks,788-395-0320,n/a,0769 Bellgrove Avenue
735,Agimba,312-641-9362,Capital Goods,7700 Welch Junction
736,Tanoodle,752-822-5502,Basic Industries,1 Texas Pass
737,Realfire,408-494-9964,Consumer Non-Durables,9 Charing Cross Alley
738,Jabbercube,684-988-1591,n/a,7126 Daystar Court
739,Tagpad,799-369-8975,Transportation,775 Fisk Court
740,Voonder,673-445-0141,Finance,5087 Anhalt Place
741,Zoomzone,428-385-5628,n/a,018 Ryan Terrace
742,Jetwire,914-849-1738,Finance,3 Crownhardt Court
743,Fivebridge,338-982-2468,n/a,5 Rowland Pass
744,Skinder,341-581-6213,Consumer Services,9 Northport Drive
745,Divape,378-146-8722,n/a,6 Clemons Drive
746,Edgeclub,349-274-3467,Consumer Services,9876 Haas Alley
747,Eayo,439-346-3927,n/a,70 Nevada Terrace
748,Voolia,197-169-8186,Finance,633 Cherokee Crossing
749,Browsedrive,600-821-0750,Finance,348 1st Road
750,Blogtags,268-355-7275,Consumer Services,20178 Rowland Crossing
751,Jayo,191-198-3105,Public Utilities,50208 Glendale Parkway
752,Skinix,736-354-0631,Energy,739 Pine View Crossing
753,Trudoo,666-957-9230,Consumer Services,8268 Texas Park
754,Kwilith,554-307-4337,Technology,16 Waubesa Point
755,Voonte,551-370-0193,Finance,0 Autumn Leaf Place
756,Shuffledrive,433-411-3948,Basic Industries,20 Ronald Regan Way
757,Brainlounge,583-102-8326,Technology,13481 Bellgrove Lane
758,Edgepulse,807-872-6172,Consumer Non-Durables,36 Westridge Circle
759,Kamba,866-696-9984,n/a,82 Kropf Pass
760,Skinix,563-770-1791,Energy,49526 Melrose Junction
761,Ooba,169-760-6232,Finance,4666 Barnett Way
762,Jetwire,441-871-4577,n/a,040 Rigney Crossing
763,Gigaclub,498-850-6568,Health Care,48167 Toban Hill
764,Brainsphere,253-447-7717,Consumer Services,3597 Evergreen Parkway
765,Gabcube,717-429-1421,Capital Goods,8 Bay Street
766,Yodoo,733-155-2855,Transportation,7 Talisman Way
767,Roombo,306-924-0735,n/a,753 Clarendon Hill
768,Camimbo,448-615-3213,Health Care,06262 Maryland Hill
769,Twitterwire,635-248-8169,Health Care,05 Bultman Way
770,Mynte,942-205-8055,Basic Industries,2713 Longview Trail
771,Plambee,291-610-9168,n/a,80669 Evergreen Pass
772,Photobug,467-839-1809,Transportation,7 Mallory Parkway
773,Wordify,903-448-7274,Finance,3092 Pond Circle
774,Janyx,478-950-7803,n/a,65554 Orin Avenue
775,Livetube,863-926-0739,Consumer Non-Durables,66130 Sullivan Street
776,Realbridge,128-325-5329,Transportation,93 Stoughton Crossing
777,Vimbo,520-248-9176,Health Care,5005 Vermont Avenue
778,Zoovu,765-543-9481,Finance,86920 Anhalt Circle
779,Bluezoom,726-231-9279,Energy,0893 Sommers Parkway
780,Layo,427-707-7365,Technology,0 Twin Pines Circle
781,Kwilith,431-310-2324,Energy,0 Schurz Alley
782,Youspan,104-406-8090,n/a,84019 Farragut Crossing
783,Kwideo,305-823-8169,n/a,73 Moland Crossing
784,Babblestorm,414-917-8243,Health Care,464 Holmberg Plaza
785,Gabcube,173-439-5399,Health Care,61 Lakewood Gardens Alley
786,Centizu,152-499-4361,Health Care,5 Dovetail Park
787,Tagcat,813-848-1954,Consumer Services,90405 New Castle Court
788,Dablist,926-540-5339,Energy,7 Manley Hill
789,Ntags,172-713-3268,n/a,2658 Shopko Lane
790,Realblab,375-991-7152,n/a,7914 Charing Cross Pass
791,Thoughtblab,816-504-2511,n/a,485 Oakridge Center
792,Photospace,890-547-3569,n/a,6470 Lyons Avenue
793,Skiba,899-844-2258,Capital Goods,982 High Crossing Circle
794,Flashspan,971-511-8679,Consumer Non-Durables,80908 Sachs Pass
795,Fivechat,468-952-0318,Health Care,9 Sage Avenue
796,Linkbuzz,343-639-7792,n/a,263 Pankratz Alley
797,Livetube,420-618-9837,n/a,46 Stuart Pass
798,Pixonyx,303-626-9588,Public Utilities,5019 Hanover Avenue
799,Avavee,872-402-2004,n/a,64932 Surrey Road
800,Flipstorm,321-464-9271,Public Utilities,80238 Anzinger Hill
801,Ailane,776-613-2229,Miscellaneous,6 Stoughton Center
802,Geba,926-821-4092,Finance,7 Gerald Alley
803,Centidel,915-143-3468,Energy,7610 Dixon Street
804,Yozio,806-155-0128,Energy,7990 Iowa Point
805,Tagopia,360-887-6162,n/a,8 Morningstar Trail
806,Fadeo,967-871-1203,Consumer Durables,2 Susan Crossing
807,Tazz,752-795-6829,Capital Goods,1 Johnson Way
808,Jaxspan,932-461-5811,Consumer Durables,04 Mandrake Trail
809,Thoughtbeat,745-777-0483,Energy,279 Mccormick Trail
810,Yata,683-662-4626,Finance,408 Buena Vista Hill
811,Aimbu,202-666-0197,Finance,7 Manufacturers Park
812,Pixope,834-391-7522,Technology,00361 Butterfield Avenue
813,Quimba,800-933-7691,Miscellaneous,71 Eagle Crest Road
814,Rhynoodle,597-632-5867,Consumer Services,377 Farmco Plaza
815,Fadeo,593-550-1761,Capital Goods,6 Cottonwood Court
816,Gigashots,401-646-3885,Health Care,9 Warbler Avenue
817,Twinder,159-859-6710,n/a,99 Clemons Point
818,Flipstorm,393-387-0369,Miscellaneous,02 Homewood Point
819,Skivee,649-558-1687,n/a,6531 Corben Way
820,Abata,415-732-7578,Technology,8 Dahle Avenue
821,Rhycero,885-451-4525,Consumer Non-Durables,6671 Manley Park
822,Kwimbee,957-463-4554,n/a,0 Maywood Plaza
823,Topiclounge,311-859-5428,Finance,34022 Schmedeman Plaza
824,Vinder,448-565-4548,n/a,954 Kensington Center
825,Pixope,732-641-8663,n/a,2913 Leroy Alley
826,Twitterwire,921-876-0812,Consumer Services,1362 Lunder Pass
827,Vipe,826-399-6063,Technology,71550 Barnett Lane
828,Pixonyx,201-697-8004,Technology,325 Dottie Crossing
829,Kwimbee,462-994-0458,Capital Goods,6997 Coleman Road
830,Jaloo,846-712-1362,n/a,9 Bay Terrace
831,Photospace,815-262-5029,n/a,07 Fairfield Avenue
832,Wikizz,994-444-2038,n/a,34 Hoepker Avenue
833,Browsedrive,687-198-2010,Capital Goods,2 Schiller Pass
834,Thoughtworks,723-893-0716,Technology,093 Meadow Valley Alley
835,Roombo,609-296-3491,Consumer Services,2373 Fairview Park
836,Mynte,389-555-2549,Consumer Services,944 Bellgrove Drive
837,Voolia,847-643-9828,Public Utilities,8 Charing Cross Road
838,Voonyx,457-899-2844,Energy,8903 Anderson Parkway
839,Jabbertype,397-716-2469,Consumer Durables,50 Buena Vista Drive
840,Einti,468-342-3504,n/a,894 Washington Plaza
841,Quinu,964-390-5017,Capital Goods,96403 Lillian Crossing
842,Wikizz,984-562-9575,Technology,65 Pennsylvania Pass
843,Tanoodle,470-925-9834,Basic Industries,32 Crescent Oaks Trail
844,Tekfly,854-163-1299,Public Utilities,7563 Golden Leaf Point
845,Livepath,651-326-9023,Technology,5049 Mccormick Drive
846,Shuffletag,696-450-6530,n/a,4385 Grasskamp Court
847,Jatri,814-755-0563,Consumer Services,3 Loeprich Junction
848,Dazzlesphere,744-141-4106,Consumer Services,22123 Waubesa Parkway
849,Edgeify,558-986-6202,Health Care,42 Cordelia Pass
850,Realbuzz,240-174-9326,Health Care,0 Golden Leaf Pass
851,Oyondu,549-331-7314,Finance,078 Clemons Alley
852,Kwimbee,906-595-1605,Public Utilities,0035 Bunker Hill Plaza
853,Demivee,507-249-6809,Finance,6 Green Street
854,Photofeed,243-233-1509,Consumer Services,0538 Katie Plaza
855,Vidoo,230-343-1990,n/a,6 Shopko Court
856,Blognation,186-641-6603,Finance,80 Farwell Place
857,Meezzy,725-649-8176,Finance,36 Melby Pass
858,Demimbu,922-712-8862,Basic Industries,3137 Summit Hill
859,Skyndu,408-510-3858,Technology,274 Larry Park
860,Tagchat,597-907-9225,Finance,009 Pierstorff Court
861,Buzzshare,202-123-7241,Health Care,5364 Pennsylvania Avenue
862,Thoughtmix,768-374-9352,Technology,97355 Vera Circle
863,Zooxo,226-766-7797,n/a,25 Duke Terrace
864,Trilith,945-837-9356,n/a,664 Elgar Parkway
865,Blognation,642-117-2702,Public Utilities,04 Mcbride Center
866,Muxo,268-109-3418,Technology,36287 Hayes Terrace
867,Yoveo,679-118-3389,Finance,30 West Point
868,Plambee,938-533-2909,n/a,23194 Merchant Terrace
869,Flashpoint,699-796-0709,n/a,879 Graedel Place
870,Roomm,428-914-4729,Health Care,93 Montana Way
871,Dynazzy,242-664-8006,Capital Goods,32899 Holmberg Park
872,Viva,197-305-5037,Health Care,761 Maywood Avenue
873,Quatz,673-206-3280,n/a,65116 Dexter Street
874,Skibox,831-398-1980,Consumer Services,42 Rutledge Trail
875,Youopia,704-850-5796,Technology,05 Muir Way
876,Skinte,987-781-2880,Capital Goods,8824 Autumn Leaf Terrace
877,Eimbee,136-886-0714,Public Utilities,0009 Stang Place
878,Meembee,643-879-9305,Consumer Services,23 Sage Avenue
879,Riffwire,495-842-5572,Consumer Services,2158 Toban Terrace
880,Vinder,778-242-0694,Energy,7256 Fieldstone Crossing
881,Brainverse,664-949-3759,Basic Industries,31 Algoma Trail
882,Abatz,314-678-3446,n/a,80 Mcbride Court
883,Skalith,426-145-9768,Health Care,12355 David Terrace
884,Zooveo,769-119-2281,n/a,61 Talmadge Crossing
885,Skynoodle,665-664-6455,n/a,34 Brown Avenue
886,Yodoo,401-213-7086,Consumer Durables,7 Karstens Drive
887,Kimia,132-420-8487,Finance,344 Harper Crossing
888,Camimbo,382-380-6665,Consumer Non-Durables,161 Logan Center
889,Divape,245-385-1556,Capital Goods,353 Haas Court
890,Yacero,674-207-2550,Consumer Services,9286 Northwestern Street
891,Eabox,344-572-2334,Consumer Non-Durables,5728 Burning Wood Place
892,Demizz,650-762-7167,Finance,434 Monica Pass
893,Edgeblab,966-191-3964,Finance,5 Novick Pass
894,Gigashots,672-518-1194,Consumer Services,6 Mallory Terrace
895,Myworks,877-794-9976,Consumer Non-Durables,36 Stang Way
896,Skaboo,504-104-6390,Technology,00372 Armistice Plaza
897,Jabberbean,919-840-7953,Consumer Services,7119 Westridge Trail
898,Livefish,296-794-5030,Energy,0 Mitchell Plaza
899,Latz,666-200-8797,Technology,88 Warbler Hill
900,Chatterpoint,782-380-1632,Consumer Services,0 Forest Plaza
901,Agimba,665-907-6151,Technology,32 Blue Bill Park Avenue
902,Innotype,302-683-3862,Health Care,9607 Logan Junction
903,Gigabox,418-579-2443,n/a,85 Summer Ridge Parkway
904,Feedfish,268-196-1022,Public Utilities,0176 Cascade Crossing
905,Topiclounge,450-650-2491,Transportation,5 Portage Crossing
906,Skinix,964-821-0277,Energy,20 Maryland Way
907,Wordware,619-138-1740,Consumer Services,43540 Main Pass
908,Katz,892-411-6535,Consumer Services,631 Katie Way
